name,price,status,shipping,free_returns,items_sold
LEGO - Classic Space - Rare - 11910 Micro-Scale Space Cruiser - New & Sealed,3800,Brand New,3,True,0
LEGO Space Satellite Polybags (30365) BRAND NEW FACTORY SEALED 29 Pieces,999,Brand New,0,True,
LEGO Galaxy Explorer Building Set for Adults who love Space 10497. FREE SHIPPING,7990,Brand New,0,False,0
Lego Classic Space Sets w/ Minifigs! Vintage Space,5995,Pre-Owned,895,False,
LEGO Galaxy Explorer Building Set for Adults who love Space 10497 US SHIP,6369,Brand New,0,False,36
LEGO LEGOLAND 6849 ~ Space Series ~ Complete w/Instructions,499,Pre-Owned,685,False,
New ListingVintage 1991 Space Lego Blacktron II 6981 Aerial Intruder,7000,Pre-Owned,1050,False,
LEGO 6929 Starfleet Voyager CLASSIC SPACE 100% Complete w/ Manual Vintage 1981 ,2900,Pre-Owned,899,False,
LEGO Star Wars Mini Foil Pack Set Limited Edition Foil Pack - YOU CHOOSE,599,Brand New,426,True,
Retro 1986 LEGO #6802 Legoland Space System Space Probe w/ Damaged Box,700,Pre-Owned,535,False,
LEGO Galaxy Explorer Building Set for Adults who love Space 10497,6950,Brand New,0,False,0
LEGO Space Police: Galactic Peace Keeper (6886) complete w/ instructions,2050,Pre-Owned,545,False,
New ListingLEGO Star Wars: A-wing Starfighter (75275),19500,Pre-Owned,1205,False,
"New ListingLego Star Wars Snowspeeder #75049 - 279 Pieces, New & Sealed",9999,Brand New,3,True,
New ListingLEGO Galaxy Explorer Building Set for Adults who love Space 10497,6900,Brand New,0,False,
NEW! LEGO 30365 Space Satellite  NASA Space-X ESA Astronaut COMBINED SHIPPING!!!,589,Brand New,400,False,0
LEGO Ideas: International Space Station 21321. NEW AND FACTORY SEALED,4600,Brand New,1085,False,
New ListingRetired LEGO Star Wars: Sith TIE Fighter (75272),5500,Pre-Owned,1060,False,
New ListingLego 6980 Galaxy Commander- Classic Space,5600,Pre-Owned,1125,False,
LEGO City 60349 Lunar Space Station NASA 500 Pieces NEW + Free Shipping *,4999,Brand New,4,False,
Vintage LEGO Space: Deep Freeze Defender (6973),13000,Pre-Owned,1500,False,
Lego Space 6856 - Exploriens ship Vintage Complete,125,Pre-Owned,799,False,
New ListingLEGO Hovertron (6815)  unopened box,3000,New (Other),610,False,
